Payment Method,Fuel Type,Charge Type,Allowance,Cap Period,Start Date,End Date,Cost Value
All,Gas,UR,WHD (unit rate),January 2024 - March 2024,2024-01-01,2024-03-01,0.0
All,Gas,SC,GGL,January 2024 - March 2024,2024-01-01,2024-03-01,0.44530000000000003
All,Electricity - Single-Rate ,UR,RO,April 2024 - June 2024,2024-04-01,2024-06-01,31.78243
All,Electricity - Single-Rate ,UR,FiT,April 2024 - June 2024,2024-04-01,2024-06-01,7.639091705649225
All,Electricity - Single-Rate ,UR,ECO,April 2024 - June 2024,2024-04-01,2024-06-01,8.699329123454325
All,Electricity - Single-Rate ,SC,WHD,April 2024 - June 2024,2024-04-01,2024-06-01,10.909265371253545
All,Electricity - Single-Rate ,UR,WHD (unit rate),April 2024 - June 2024,2024-04-01,2024-06-01,0.0
All,Electricity - Single-Rate ,UR,AAHEDC,April 2024 - June 2024,2024-04-01,2024-06-01,0.4551192437813739
All,Electricity - Single-Rate ,UR,NCC,April 2024 - June 2024,2024-04-01,2024-06-01,0.0
All,Electricity - Single-Rate ,UR,nRAB,April 2024 - June 2024,2024-04-01,2024-06-01,0.0
All,Electricity - Multi-Register ,UR,RO,April 2024 - June 2024,2024-04-01,2024-06-01,31.78243
All,Electricity - Multi-Register ,UR,FiT,April 2024 - June 2024,2024-04-01,2024-06-01,7.639091705649225
All,Electricity - Multi-Register ,UR,ECO,April 2024 - June 2024,2024-04-01,2024-06-01,8.699329123454325
All,Electricity - Multi-Register ,SC,WHD,April 2024 - June 2024,2024-04-01,2024-06-01,10.909265371253545
All,Electricity - Multi-Register ,UR,WHD (unit rate),April 2024 - June 2024,2024-04-01,2024-06-01,0.0
All,Electricity - Multi-Register ,UR,AAHEDC,April 2024 - June 2024,2024-04-01,2024-06-01,0.4551192437813739
All,Electricity - Multi-Register ,UR,NCC,April 2024 - June 2024,2024-04-01,2024-06-01,0.0
All,Electricity - Multi-Register ,UR,nRAB,April 2024 - June 2024,2024-04-01,2024-06-01,0.0
All,Gas,UR,ECO,April 2024 - June 2024,2024-04-01,2024-06-01,2.9941074517373605
All,Gas,SC,WHD,April 2024 - June 2024,2024-04-01,2024-06-01,10.909265371253545
All,Gas,UR,WHD (unit rate),April 2024 - June 2024,2024-04-01,2024-06-01,0.0
All,Gas,SC,GGL,April 2024 - June 2024,2024-04-01,2024-06-01,0.38325
All,Electricity - Single-Rate ,UR,RO,July 2024 - September 2024,2024-07-01,2024-09-01,31.78243
All,Electricity - Single-Rate ,UR,FiT,July 2024 - September 2024,2024-07-01,2024-09-01,7.639091705649225
All,Electricity - Single-Rate ,UR,ECO,July 2024 - September 2024,2024-07-01,2024-09-01,8.699329123454325
All,Electricity - Single-Rate ,SC,WHD,July 2024 - September 2024,2024-07-01,2024-09-01,10.909265371253545
All,Electricity - Single-Rate ,UR,WHD (unit rate),July 2024 - September 2024,2024-07-01,2024-09-01,0.0
All,Electricity - Single-Rate ,UR,AAHEDC,July 2024 - September 2024,2024-07-01,2024-09-01,0.4551192437813739
All,Electricity - Single-Rate ,UR,NCC,July 2024 - September 2024,2024-07-01,2024-09-01,0.0
All,Electricity - Single-Rate ,UR,nRAB,July 2024 - September 2024,2024-07-01,2024-09-01,0.0
All,Electricity - Multi-Register ,UR,RO,July 2024 - September 2024,2024-07-01,2024-09-01,31.78243
All,Electricity - Multi-Register ,UR,FiT,July 2024 - September 2024,2024-07-01,2024-09-01,7.639091705649225
All,Electricity - Multi-Register ,UR,ECO,July 2024 - September 2024,2024-07-01,2024-09-01,8.699329123454325
